name,value
AB_Anforderung_eCall,keine_Anforderung
BCM_Bremsbelag_Sensor,OK
BCM_Bremsbelag_Sensor_CND,OK
BCM_Bremsbelag_Sensor_NAR,OK
BCM_Bremsbelag_Sensor_Rdw,OK
BCM_Kuehlmittel_Sensor,OK
BMS_DC_Ladeprofil_Wechsel,keinWechselMoeglich
BMS_DC_Ladeschuetze_Ist,Init
BMS_IsoFehler,IsoFehler_Schwelle_2
BMS_IsoFehler,IWU_defekt
BMS_IsoFehler,kein_IsoFehler
BMS_Nutzbare_EntladeEnergie,37280
BMS_Nutzbare_EntladeEnergie,52525
BMS_Nutzbare_EntladeEnergie,23755
BMS_Nutzbare_EntladeEnergie,29470
BMS_Nutzbare_EntladeEnergie,44270
BMS_Nutzbare_EntladeEnergie,39640
BMS_Nutzbare_EntladeEnergie,46180
BMS_Nutzbare_EntladeEnergie,46665
BMS_Nutzbare_EntladeEnergie,48235
BMS_Nutzbare_EntladeEnergie,30035
BMS_Nutzbare_EntladeEnergie,53730
BMS_Nutzbare_EntladeEnergie,46730
BMS_Nutzbare_EntladeEnergie,44305
BMS_Nutzbare_EntladeEnergie,49015
BMS_Nutzbare_EntladeEnergie,46200
BMS_Nutzbare_EntladeEnergie,46105
BMS_Nutzbare_EntladeEnergie,29665
BMS_Nutzbare_EntladeEnergie,51905
BMS_Nutzbare_EntladeEnergie,24455
BMS_Nutzbare_EntladeEnergie,52185
BMS_Nutzbare_EntladeEnergie,53835
BMS_Nutzbare_EntladeEnergie,46855
BMS_Nutzbare_EntladeEnergie,52250
BMS_Nutzbare_EntladeEnergie,51970
BMS_Nutzbare_EntladeEnergie,57325
BMS_Nutzbare_EntladeEnergie,46880
BMS_Nutzbare_EntladeEnergie,26475
BMS_Nutzbare_EntladeEnergie,36335
BMS_Nutzbare_EntladeEnergie,44475
BMS_Nutzbare_EntladeEnergie,36260
BMS_Nutzbare_EntladeEnergie,40980
BMS_Nutzbare_EntladeEnergie,37130
BMS_Nutzbare_EntladeEnergie,41235
BMS_Nutzbare_EntladeEnergie,24880
BMS_Nutzbare_EntladeEnergie,30395
BMS_Nutzbare_EntladeEnergie,47700
BMS_Nutzbare_EntladeEnergie,44265
BMS_Nutzbare_EntladeEnergie,50415
BMS_Nutzbare_EntladeEnergie,48080
BMS_Nutzbare_EntladeEnergie,44980
BMS_Nutzbare_EntladeEnergie,43795
BMS_Nutzbare_EntladeEnergie,46425
BMS_Nutzbare_EntladeEnergie,44235
